attraction_id,nama,deskripsi,total_review,total_rating,img,longitude,latitude,link_detail,kota,provinsi
265,Gelora Bung Karno Stadium,Arenas & Stadiums,272,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/95/c5/69/20160608-154922-largejpg.jpg?w=500&h=400&s=1,106.8017969,-6.2185701,https://www.tripadvisor.com/Attraction_Review-g294229-d2485738-Reviews-Gelora_Bung_Karno_Stadium-Jakarta_Java.html,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta
266,Sunda Kelapa Harbour,Points of Interest & Landmarks • Historic Walking Areas,440,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/bf/7d/23/busy-and-old-fashion.jpg?w=500&h=-1&s=1,106.845599,-6.2087634,https://www.tripadvisor.com/Attraction_Review-g294229-d379327-Reviews-Sunda_Kelapa_Harbour-Jakarta_Java.html,,Jakarta
267,Ragunan Zoo,Zoos,632,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/81/8a/c2/status.jpg?w=500&h=-1&s=1,106.8208153,-6.311940799999999,https://www.tripadvisor.com/Attraction_Review-g294229-d1055740-Reviews-Ragunan_Zoo-Jakarta_Java.html,Kota Jakarta Selatan,Daerah Khusus Ibukota Jakarta
268,Plaza Senayan,Shopping Malls,231,4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/cf/13/1513169466204-largejpg.jpg?w=500&h=-1&s=1,106.7994139,-6.2254694,https://www.tripadvisor.com/Attraction_Review-g294229-d4006895-Reviews-Plaza_Senayan-Jakarta_Java.html,Kota Jakarta Pusat,Daerah Khusus Ibukota Jakarta
269,Glodok Chinatown,Neighborhoods,436,3.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/bd/d4/78/chinatown-glodok.jpg?w=500&h=-1&s=1,106.8142058,-6.1427907,https://www.tripadvisor.com/Attraction_Review-g294229-d379309-Reviews-Glodok_Chinatown-Jakarta_Java.html,Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta
270,Aeon Mall Jakarta Garden City,Department Stores • Shopping Malls,86,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/d3/25/28/aeon-mall.jpg?w=500&h=-1&s=1,106.9522209,-6.172188299999999,https://www.tripadvisor.com/Attraction_Review-g294229-d13162059-Reviews-Aeon_Mall_Jakarta_Garden_City-Jakarta_Java.html,Kota Jakarta Timur,Daerah Khusus Ibukota Jakarta
271,Tunjungan Plaza,Shopping Malls,"1,315",4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c1/61/5f/tunjungan-plaza.jpg?w=500&h=-1&s=1,112.7384431,-7.262368299999999,https://www.tripadvisor.com/Attraction_Review-g297715-d1979090-Reviews-Tunjungan_Plaza-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
272,Suramadu National Bridge,Bridges,"1,171",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/bd/92/ba/jembatan-suramadu.jpg?w=500&h=400&s=1,,,https://www.tripadvisor.com/Attraction_Review-g297715-d1972343-Reviews-Suramadu_National_Bridge-Surabaya_East_Java_Java.html,,
273,Masjid Nasional Al Akbar,Religious Sites,384,4.5 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/99/e3/48/caption.jpg?w=500&h=-1&s=1,112.7151806,-7.336614099999999,https://www.tripadvisor.com/Attraction_Review-g297715-d3459211-Reviews-Masjid_Nasional_Al_Akbar-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
274,Sampoerna Museum,Speciality Museums,"1,457",4.0 of 5 bubbles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/22/63/22/pano-20171029-152943.jpg?w=500&h=-1&s=1,112.7342344,-7.230817300000001,https://www.tripadvisor.com/Attraction_Review-g297715-d1744950-Reviews-Sampoerna_Museum-Surabaya_East_Java_Java.html,Surabaya,Jawa Timur
